,CD8_T_cells,CD4_T_cells,T_regulatory,NK_cells,B_cells,Macrophages_M1,Macrophages_M2,Dendritic_cells,Neutrophils,Mast_cells,Exhaustion,IFN_gamma
TCGA-BH-A18H,1.8996956914052945,1.133589535215168,1.217677193631596,0.9926306427887992,1.1963842419947779,0.3052465287748417,0.03602389469351207,0.6870298971383035,-0.05255263911817588,0.6174525542451907,1.5611413433094694,1.4418370345907705
TCGA-E2-A14P,0.30548954727480576,0.3183006424981264,0.5008280579165684,0.10396388827648084,0.9370733205205747,-0.24482336962367918,-0.6255966155483311,-0.29340220460047733,0.47239229664521815,-1.0272897221522148,0.33722720098579717,0.570566309737842
TCGA-AN-A04A,-0.7294352800896748,-0.6829098718822343,-0.5587918926178479,-0.6800993786974269,-0.8198678289152879,-0.5225308898885019,-0.3435665608344536,-0.6830246949287756,-0.2810534011028373,-0.6228320531593579,-0.7554590670174974,-0.4512327472678152
TCGA-5L-AAT1,1.9474452136181934,0.8693098116115714,1.1277229412229375,1.227917067807173,0.8598238196613633,0.5759236923339183,0.677921490316067,1.2776004115001516,-0.21863225251664062,0.7033234586658149,1.675174416569479,1.7473771100982707
TCGA-AQ-A0Y5,-1.3379042978004707,-0.3958615257161757,-0.3141475404120432,-0.9707195599942909,-1.0064976051533672,-0.3913204510058395,0.5829312334347936,-0.9520939508064202,0.8949424124219231,-0.007590939171046547,-0.5932628127586849,-0.3318446213184417
TCGA-A8-A07I,-0.2555716319743947,0.11256326777152299,0.8716592166841156,-0.21278767926451822,0.02215395165332551,0.7057336090470056,0.4044391929930238,-0.41660773460221706,-0.4194385502098023,-0.0364037663398754,0.8120270899827489,1.0381812807529864
TCGA-E9-A1R4,0.8527557902928693,0.896065874096913,1.3893426984632944,0.43134809272615315,0.206617999969856,0.6600035295437012,0.5167168684904697,0.45550356742112624,0.292529549852892,-0.7822936264930326,1.4391290013216442,1.5221308344547775
TCGA-AC-A8OP,-0.011742733050905636,0.3833587049534859,0.34131254349056683,-0.16981481595751774,0.773408378522903,0.004957857934226396,-0.0319358899784201,0.6723812231726213,-0.24746392321893165,0.26325845798826863,-0.2272434819544704,-0.2929273939751213
TCGA-AR-A24Q,0.7511256239486434,0.4443364531998172,0.38426562820780297,0.5725802179600149,0.47237799143068776,0.013209853328604295,-0.10968207120274805,0.10109313531269437,-0.12613623353960265,-0.3774900156630097,1.052987834194043,0.8495413097125559
TCGA-D8-A1XU,-0.7702352664003865,-0.43775061098889034,-0.4209092854290622,-0.8285681432804765,-0.8121122866139865,-0.5189109840498727,-0.28517207166686503,-0.2135176680221377,-0.557302871569151,-0.10041360862433431,-0.22098418363954483,-0.36030509087687373
TCGA-AO-A03N,-1.3689497650205307,-1.5742392798442646,-0.6294342700849925,-1.2700638552728214,-0.8445166078052905,-0.9317917453796026,-1.318273683978996,-1.4894656199923817,-0.8433822387611181,-0.9128546639492164,-1.0999393923013014,-1.0702344378912008
TCGA-A1-A0SN,0.8656630359649341,0.7830671977879101,1.198509911215126,0.1988165520781315,-0.5502749740094464,-0.3172512447352855,-0.05460369200235314,0.12087814266098577,0.25851645987692856,0.2727626870402197,0.60090561447487,0.7514483690775439
TCGA-D8-A1JP,0.26347484653915304,-0.08309131202555736,0.1939629781465412,-0.4335183243648474,-0.6062128070633923,0.27348929305831987,0.43999939344038547,0.5028523287866256,0.13678029119404297,-0.7174142257505943,0.4355247658100425,-0.017115249977116418
TCGA-D8-A1XL,1.5104088494138321,0.7018378648875061,0.7515626474268778,0.8931686981632724,0.9340944466776075,0.8833989794265837,0.37700733326576996,0.1452395403907684,0.11961648068557507,-0.9662476207812585,1.6838620275015885,1.8813484356001888
TCGA-B6-A1KI,-1.158258319489368,-1.2009828341976592,-0.7099958595800121,-1.004445278149667,-0.8755825489797261,-0.2586888684906213,-1.0037737344319309,-1.0717510659387028,-0.5560900808144746,-0.5913802735187298,-1.466764059683588,-0.8986371154083453
TCGA-B6-A0IP,-0.2093171366213351,0.36813499493106455,0.15610426479636938,-0.40787480760539296,2.165682738127449,-0.37924319713831195,-0.6942370997955252,0.023609634817562803,-0.5321614117725727,0.03560073517147311,-0.25860349968832436,-0.10615340343564311
TCGA-B6-A0IM,-0.7693061301021199,-0.09382201153888964,-0.09583347532183882,-1.170797614514506,-1.0048464123624463,0.14258547069246058,-0.15376808823859398,-0.5693878074670631,-0.5846304241367187,-0.8876143534942905,-0.7833424278083351,-0.19875303072802494
TCGA-A1-A0SB,-1.024493376343847,-1.1003859231156743,-0.826508202040825,-1.013539540029983,-1.0141865426810646,-0.735148466437445,-0.7210485142393889,-0.8563253036983313,-1.1544098971017869,-0.759652897746976,-0.9218771615862071,-1.1409273321410225
TCGA-A8-A08B,0.2983980734321691,-0.10653025236989307,0.29417439437055665,0.4423406664720675,-0.22523393269425246,-0.011203019617502459,-0.3054144035474791,-0.8498953601036723,0.21052722716852776,-0.0682213080972366,0.6911146202505632,1.0641478914252933
TCGA-AN-A0FD,-0.07701827314443432,-0.7066542479189686,-0.11241234659413318,-0.10304506502135591,-0.5377186111193696,-0.30732003887282644,-0.5379905214281667,-1.0629405568986108,-0.2843128073930818,-0.20729382537764773,0.18657755693408618,1.0491531789860749
TCGA-3C-AALJ,0.8024173446861429,0.7165882044462331,0.4733588414446193,0.30695776605841335,0.5337852783775794,0.025478267626669493,0.1298539624922473,-0.2080928165341754,-0.5704303702040322,-1.0604687150141645,0.35351744345285463,0.4108971526527465
