,CD8_T_cells,CD4_T_cells,T_regulatory,NK_cells,B_cells,Macrophages_M1,Macrophages_M2,Dendritic_cells,Neutrophils,Mast_cells,Exhaustion,IFN_gamma
TCGA-86-8358,0.3052809706810305,-0.6216101199700822,0.19715044611904045,0.6275640799891458,0.21306840292521126,-0.2223838306245713,-0.41740495911494685,-1.1076326410331891,-1.0954281628298599,-0.9418438637982263,0.4832838236245142,0.08805989698657415
TCGA-86-A4D0,-0.40748498873157146,-0.7568019429892952,-0.06103056503998041,0.03629696315361316,-0.6063048033002334,-0.6729097019773391,-1.2961425847626498,-1.179567788840507,-1.1228073243307926,-1.649339207918661,-0.29586871008398485,-0.5938185476385525
TCGA-73-4666,2.088426101721526,0.673734360158889,1.5762082338225236,1.4626142119602719,-0.8602476008138036,0.727220558375768,0.6527232711060187,-0.29750071451210486,-0.19948700651508586,-0.6937783439172605,1.7067180494533036,1.8301626563129236
TCGA-NJ-A4YQ,1.3216799124216323,0.9008488122202406,0.6198444005496568,0.4031590661661025,1.9298816887101593,-0.17717248176629583,-0.17915676667111693,-0.5865928342210434,0.4715333929747061,-0.24759752912229005,0.6263711859509771,0.6051715362955815
TCGA-86-7714,-1.3908806756759566,-0.45160600850180477,-0.38168052597621815,-0.8717423963208041,-1.2868999541179655,-0.682414365565632,-0.4441806991776077,0.26851281478456146,-0.4977877007126403,-0.34428693791964365,-0.6562756094855445,-1.1559380543754445
TCGA-91-8499,0.05892072564366615,-0.2521691568277014,0.22606754727428433,0.7384807604766296,-0.07125999294856829,-0.19119055194134024,-0.4013434164052507,-1.0155795436180357,-0.7168895755301364,-1.043748381980593,0.3012389221104973,0.6894874093658897
TCGA-55-7227,0.030890760531060473,1.013210540930655,1.1424816280558032,-0.16917080128259593,-0.0906244182509188,-0.12406328775812629,0.17428646636859962,0.7664200455273575,-0.47207726453693044,-0.181875673940289,0.742641830447727,0.5388529098610578
TCGA-78-7158,-1.218893671525424,-0.8148252380575292,-0.36822484934189315,-1.5232200584209994,-0.9036136491572124,-1.0577638836033016,-0.8048864489656028,-0.6411708001286901,-0.3036284043434483,-0.3517197116354493,-0.4973039623647935,-1.1403410084913446
TCGA-62-A46Y,0.2566869192572787,-0.007837440763780401,0.4496061745931376,-0.3107058315905296,0.19765855001903304,0.2336957966873039,0.15957793880038146,0.669767253181878,0.6040644336213478,-0.29453345885124255,0.44733101122745067,0.17011616671694685
TCGA-97-A4M3,-1.4295068078439503,-0.9974068401494696,-0.7051755087066889,-1.2974942178343216,-0.5644906220943725,-0.550409281624903,-1.0066815375786324,-0.5922351906899146,-0.6533000827035845,-0.6245135274067625,-1.1407357240128866,-1.2209085214161561
TCGA-L9-A7SV,-0.8558941679091318,-1.476981344173403,-0.045970184140174175,-1.1400362459992504,-0.2133497222635232,-0.4932097554382181,-1.259464529415791,-0.9731486189591582,-1.6921158379243912,-1.4841331416449772,-0.5924461073212478,-0.7181429060049209
TCGA-49-AAR3,1.7642288078990624,0.1815146924081455,0.9162826618277866,0.6607600744554919,0.6078359594504555,0.7636660987938075,0.011565001104950377,-0.5363328073909578,-0.550474952554494,-1.3996018498280154,1.2382467039753617,1.9874144550788606
TCGA-73-4662,-0.03617292284550966,0.9520555772015761,1.3243744809288138,-0.5090980857968211,1.4196328961365106,-0.30081723663556703,0.16062792221600627,0.3067423025887844,-0.1389766692489057,-0.11742941431905231,0.6486424638419303,-0.21158158030028798
TCGA-97-A4M5,0.09507737015402623,0.16634888178028012,0.3724608319672706,0.3123239101887147,0.5721331164599424,-0.0705103471777609,0.34875587326362345,0.11152918161388282,-0.30129242621304436,0.8574603329609044,-0.09535293416075064,-0.27888705644741896
TCGA-97-7547,-1.038047894178841,0.39241316484792976,0.20869564346739375,-0.7159713320986091,0.4745592759421891,-0.9810168573525143,-0.38048475269381193,-0.10810359770403048,-0.8720477814787148,0.008028704831873365,-0.5196508140367907,-0.7817198870906257
TCGA-44-6145,1.371008817704904,0.7187906975119152,0.8859558657161548,1.1476259940564966,1.275794065965899,-0.20025477099499917,0.015713664172488824,-0.3053990438983405,0.9655406011552619,0.2500785160683245,1.0720108890057751,1.329008421012234
TCGA-35-5375,0.14190808978121247,-1.119405616411993,-0.30674009963834753,0.23098662951336477,0.08118953649584075,0.6440881663088067,-1.0061006155038485,-0.762664739359808,0.5756773695545974,-0.7668906558532873,-0.16991267901970206,0.6515830073058022
TCGA-49-4486,-1.485329755582497,-2.029397939652963,-1.0748874174319218,-1.1282029647769396,-0.7160918582993121,-1.4234801594119566,-1.7807961053794492,-1.0732338743630343,-1.2227921973626275,-1.5149763749744043,-1.715931184952229,-1.4926868534262332
TCGA-62-8399,-0.39177817947307564,-0.07798902334105606,-0.051825561009376825,-0.4987378930986421,-0.34805728294281363,0.21298257050654062,0.052677084785939084,-0.7716132053900461,-0.10227965259964751,0.8272875136283911,-0.7596090610381104,-0.35762850494099674
TCGA-80-5611,-0.08913837961978208,-0.2682537775088921,0.6801571689931185,-0.0183989724933377,-0.4161771500643641,0.6128958839993809,-0.08848863685632821,-0.026617194445301643,-0.07800646472411023,-0.5605767500709351,0.3158414749359149,1.488967634899589
TCGA-86-8281,-0.8807431796321262,-0.06906728712660812,-0.20729527219554533,-0.5856367602656912,0.34824088905187267,-0.7232078738847257,-0.9286641133660819,-0.32823753588725446,-0.6074262581795293,-0.18542350148633358,-0.8428604954942662,-1.1290358961269784
